Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"Statement - Price = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.concatenate([""Only "", Vtr1])",Chrome 66.0.3359.181,,2018-05-24 14:50:21,2018-05-24 14:50:21,0.001s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:50:21,2018-05-24 14:50:21,0.043s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:50:21,2018-05-24 14:50:22,0.494s,PASSED
waitForElementPresent,Chrome 66.0.3359.181,,2018-05-24 14:50:22,2018-05-24 14:50:26,4.669s,PASSED
waitForElementClickable,Chrome 66.0.3359.181,,2018-05-24 14:50:26,2018-05-24 14:50:26,0.048s,PASSED
verifyTextPresent,Chrome 66.0.3359.181,,2018-05-24 14:50:26,2018-05-24 14:50:27,0.205s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:50:27,2018-05-24 14:50:27,0.041s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:50:27,2018-05-24 14:50:27,0.042s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:50:27,2018-05-24 14:50:28,1.221s,PASSED
waitForElementVisible,Chrome 66.0.3359.181,,2018-05-24 14:50:28,2018-05-24 14:50:28,0.062s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:50:28,2018-05-24 14:50:28,0.047s,PASSED
verifyElementAttributeValue,Chrome 66.0.3359.181,,2018-05-24 14:50:28,2018-05-24 14:50:28,0.037s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:50:28,2018-05-24 14:50:28,0.031s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-24 14:50:28,2018-05-24 14:50:29,1.218s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:50:29,2018-05-24 14:50:29,0.058s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:50:29,2018-05-24 14:50:29,0.046s,PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-24 14:50:29,2018-05-24 14:50:30,0.672s,PASSED
,,,,,,
Test Cases/Salesman - BuyVTRDealer,Chrome 66.0.3359.181,,2018-05-24 14:50:30,2018-05-24 14:50:53,23.060s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-24 14:50:31,2018-05-24 14:50:33,2.325s,PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-05-24 14:50:33,2018-05-24 14:50:34,1.145s,PASSED
"Statement - OrderURL = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.concatenate([StagingReact, SalesmanURL, ""order/""])",Chrome 66.0.3359.181,,2018-05-24 14:50:34,2018-05-24 14:50:34,0.005s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-24 14:50:34,2018-05-24 14:50:37,2.938s,PASSED
waitForElementVisible,Chrome 66.0.3359.181,,2018-05-24 14:50:37,2018-05-24 14:50:37,0.057s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:50:37,2018-05-24 14:50:37,0.050s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:50:37,2018-05-24 14:50:37,0.046s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:50:37,2018-05-24 14:50:37,0.048s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-24 14:50:37,2018-05-24 14:50:37,0.238s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:50:37,2018-05-24 14:50:37,0.092s,PASSED
waitForElementVisible,Chrome 66.0.3359.181,,2018-05-24 14:50:37,2018-05-24 14:50:38,0.551s,PASSED
verifyElementVisible,Chrome 66.0.3359.181,,2018-05-24 14:50:38,2018-05-24 14:50:38,0.037s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:50:38,2018-05-24 14:50:38,0.181s,PASSED
waitForElementVisible,Chrome 66.0.3359.181,,2018-05-24 14:50:38,2018-05-24 14:50:38,0.090s,PASSED
Statement - now = new java.util.Date(),Chrome 66.0.3359.181,,2018-05-24 14:50:38,2018-05-24 14:50:38,0.001s,PASSED
"Statement - rnd = now.format(""yyyyMMddHHmmssSSS"").toString()",Chrome 66.0.3359.181,,2018-05-24 14:50:38,2018-05-24 14:50:38,0.000s,PASSED
"Statement - Email = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.concatenate([""salesman"", rnd, ""@mailinator.com""])",Chrome 66.0.3359.181,,2018-05-24 14:50:38,2018-05-24 14:50:38,0.001s,PASSED
callTestCase,Chrome 66.0.3359.181,,2018-05-24 14:50:38,2018-05-24 14:50:43,5.155s,PASSED
waitForElementVisible,Chrome 66.0.3359.181,,2018-05-24 14:50:43,2018-05-24 14:50:44,0.044s,PASSED
"Statement - Price = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.concatenate([""Only "", Vtr1])",Chrome 66.0.3359.181,,2018-05-24 14:50:44,2018-05-24 14:50:44,0.413s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:50:44,2018-05-24 14:50:44,0.045s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:50:44,2018-05-24 14:50:44,0.094s,PASSED
waitForElementPresent,Chrome 66.0.3359.181,,2018-05-24 14:50:44,2018-05-24 14:50:49,4.156s,PASSED
waitForElementClickable,Chrome 66.0.3359.181,,2018-05-24 14:50:49,2018-05-24 14:50:49,0.074s,PASSED
